off	mom	dad	type
MR10J_02_16_001	MR09A_0699	MR09A_0620	both
MR10J_02_16_002	MR09A_0776	MR09A_1106	both
MR10J_02_16_003	MR09A_0699	MR09A_0620	both
MR10J_02_17_001	MR09A_0751	MR09A_1032	both
MR10J_02_19_001	MR09A_0666	MR09A_0891	both
MR10J_02_22_001	MR09A_0726	MR09A_0906	both
MR10J_02_23_001	MR09A_0699	MR09A_0620	both
MR10J_02_23_002	MR09A_0776	MR09A_1079	both
MR10J_02_23_003	MR09A_0498	MR09A_1051	both
MR10J_02_25_001	MR09A_0699	MR09A_1102	both
MR10J_02_26_001	MR09A_0733	MR09A_0891	both
MR10J_02_26_002	MR09A_0733	MR09A_0891	both
MR10J_03_01_002	MR09A_0699	MR09A_0620	both
MR10J_03_01_003	MR09A_0776	MR09A_0431	both
MR10J_03_02_001	MR09A_0733	MR09A_0891	both
MR10J_03_02_003	MR09A_0480	MR09A_0462	both
MR10J_03_02_004	MR09A_0666	MR09A_0891	both
MR10J_03_03_001	MR09A_0479	MR09A_0906	both
MR10J_03_03_002	MR09A_0288	MR09A_0179	both
MR10J_03_03_003	MR09A_0479	MR09A_0906	both
MR10J_03_03_004	MR09A_0733	MR09A_0891	both
MR10J_03_03_006	MR09A_0414	MR09A_0882	both
MR10J_03_03_007	MR09A_0733	MR09A_0891	both
MR10J_03_04_001	MR09A_0733	MR09A_0891	both
MR10J_03_04_002	MR09A_0479	MR09A_0906	both
MR10J_03_04_003	MR09A_0751	MR09A_1032	both
MR10J_03_04_004	MR09A_0373	MR09A_1086	both
MR10J_03_04_005	MR09A_1245	MR09A_0242	both
MR10J_03_04_006	MR09A_0733	MR09A_0891	both
MR10J_03_05_001	MR09A_0733	MR09A_0891	both
MR10J_03_05_002	MR09A_0776	MR09A_1106	both
MR10J_03_05_003	MR09A_0479	MR09A_0906	both
MR10J_03_05_006	MR09A_0776	MR09A_1106	both
MR10J_03_05_007	MR09A_0479	MR09A_0906	both
MR10J_03_05_008	MR09A_0738	MR09A_0428	both
MR10J_03_05_009	MR09A_0733	MR09A_0891	both
MR10J_03_08_001	MR09A_1197	MR09A_0299	both
MR10J_03_08_002	MR09A_0479	MR09A_0906	both
