observed	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	noff_gt	type	year	noff.sample	rep
81	280.964545454545	78.8812534175343	146.66	10.3666195068595	200.635510204082	106.923927522908	3.8300109741293	50	all	2008	50	1
85	375.134444444444	119.397395357873	156.54	10.9137161407103	218.156326530612	112.88935096774	3.92412530636744	50	all	2008	50	2
78	517.922	225.167285867197	143.66	10.4607265522047	203.277959183673	103.217398123032	3.83522324092094	50	all	2008	50	3
80	293.444	86.7778180043725	144.68	10.32019379663	198.635918367347	105.455651225755	3.85156905012569	50	all	2008	50	4
85	275.006923076923	70.7183385162817	154.58	10.7344492173562	210.514693877551	112.589893328533	3.91532919177538	50	all	2008	50	5
80	274.04	76.8037499084517	144.68	10.5083966426853	197.695510204082	105.529893592092	3.92221146692707	50	all	2008	50	6
80	234.387692307692	58.9713044031858	142.72	10.0332248056146	191.934693877551	105.101502770315	3.80271614901274	50	all	2008	50	7
82	287.978181818182	80.9857133628862	148.64	10.4128382298007	203.575510204082	108.29840990362	3.82968758893324	50	all	2008	50	8
82	382.125	129.254190272985	150.6	10.6896211345398	210.276734693878	108.672109909164	3.8825247879799	50	all	2008	50	9
74	196.462307692308	48.2545460757605	129.86	9.17293846049345	172.354693877551	96.5436777673201	3.58695973261427	50	all	2008	50	10
84	457.03	166.962666186187	155.54	11.1798568863828	219.037142857143	111.645045856528	4.00378707276461	50	all	2008	50	11
83	330.009	98.9228530325526	152.58	10.7344492173562	211.335918367347	110.201911406206	3.86202922823924	50	all	2008	50	12
81	332.751111111111	104.985591622305	147.64	10.4128382298007	204.456326530612	107.073656342512	3.82395446312464	50	all	2008	50	13
83	257.289230769231	65.5578221813228	149.64	10.5993962092187	202.694693877551	109.542715014832	3.90161279025776	50	all	2008	50	14
82	265.300833333333	70.633957210176	147.66	9.98132255765738	200.695102040816	108.093990267783	3.71975805295125	50	all	2008	50	15
83	229.640666666667	53.516319920258	148.66	10.2716503055741	198.87387755102	109.392986195228	3.83751636737276	50	all	2008	50	16
86	490.32	179.893781993709	160.48	11.3943143716505	226.857142857143	114.692224170228	4.01685171221051	50	all	2008	50	17
78	336.78125	112.919615546615	141.7	10.080972175341	196.576734693878	102.836863733831	3.75266763895408	50	all	2008	50	18
72	242.737777777778	74.1081846202509	126.88	9.22726394983908	172.176326530612	93.7500196089619	3.51733154849785	50	all	2008	50	19
78	222.889230769231	55.804182718872	138.76	9.73780262687635	186.054693877551	102.332986458788	3.71389007461098	50	all	2008	50	20
75	271	83.8183220490073	133.8	9.3286654994163	182.936326530612	98.1912318534785	3.57572301199412	50	all	2008	50	21
84	284.083333333333	76.3139205361158	152.6	10.6896211345398	208.515102040816	111.141168581484	3.91334778578904	50	all	2008	50	22
78	364.72	131.029743188331	140.72	9.83593411934017	195.577142857143	102.503510915426	3.62685739639534	50	all	2008	50	23
82	251.200769230769	63.8796677196626	147.66	10.5539945044519	199.754693877551	108.148681084016	3.91428711764907	50	all	2008	50	24
