         OffspringID             FatherID             MotherID  ClusterIndex
        15.R383.1HLL                   Dad_1                   Mom_1             1
        15.R383.2HLL                   Dad_2                   Mom_2             2
        15.R383.3HLL                   Dad_3                   Mom_3             1
        15.R383.4HLL                   Dad_4                   Mom_4             3
        15.R383.5HLL                   Dad_5                   Mom_5             4
        15.R383.6HLL                   Dad_6                   Mom_1             1
        15.R383.7HLL                   Dad_7                   Mom_6             5
        15.R383.8HLL                   Dad_8                   Mom_7             5
        15.R383.9HLL                   Dad_9                   Mom_8             2
       15.R383.10HLL                  Dad_10                   Mom_9             6
       15.R383.11HLL                  Dad_11                  Mom_10             4
       15.R383.12HLL                   Dad_7                   Mom_6             5
       15.R383.13HLL                  Dad_12                  Mom_11             4
       15.R383.14HLL                  Dad_13                  Mom_12             6
       15.R383.15HLL                  Dad_14                  Mom_13             1
       15.R383.16HLL                   Dad_5                  Mom_14             4
       15.R383.17HLL                  Dad_10                  Mom_15             6
       15.R383.18HLL                  Dad_15                  Mom_16             5
       15.R383.19HLL                  Dad_16                  Mom_16             5
       15.R383.20HLL                  Dad_17                   Mom_4             3
       15.R383.21HLL                   Dad_5                   Mom_5             4
       15.R383.22HLL                   Dad_1                  Mom_17             1
       15.R383.23HLL                  Dad_18                  Mom_18             5
       15.R383.24HLL                   Dad_4                   Mom_4             3
       15.R383.25HLL                  Dad_19                  Mom_19             7
       15.R383.26HLL                   Dad_9                  Mom_20             2
       15.R383.27HLL                  Dad_20                  Mom_21             7
       15.R383.28HLL                  Dad_21                  Mom_22             1
       15.R383.29HLL                   Dad_1                   Mom_1             1
       15.R383.30HLL                  Dad_13                  Mom_15             6
       15.R383.31HLL                  Dad_22                  Mom_23             5
       15.R383.32HLL                   Dad_9                  Mom_24             2
       15.R383.33HLL                  Dad_23                  Mom_10             4
       15.R383.34HLL                  Dad_24                  Mom_25             7
       15.R383.35HLL                  Dad_25                  Mom_26             8
       15.R383.36HLL                  Dad_26                  Mom_27             8
       15.R383.37HLL                  Dad_14                  Mom_28             1
       15.R383.38HLL                  Dad_14                  Mom_28             1
       15.R383.39HLL                  Dad_27                  Mom_29             7
       15.R383.40HLL                  Dad_28                  Mom_30             6
       15.R383.41HLL                  Dad_29                  Mom_31             8
       15.R383.42HLL                  Dad_30                  Mom_28             1
       15.R383.43HLL                  Dad_31                  Mom_13             1
       15.R383.44HLL                  Dad_32                  Mom_32             8
       15.R383.45HLL                  Dad_33                  Mom_33             1
       15.R383.46HLL                  Dad_34                  Mom_20             2
       15.R383.47HLL                  Dad_35                  Mom_27             8
