observed	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	noff_gt	type	year	noff.sample	rep
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	1
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	2
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	3
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	4
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	5
17	46.4	23.758787847868	29.6	4.3058100283222	38.6666666666667	22.2036207086	1.71961599644491	10	All parents	2015	10	6
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	7
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	8
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	9
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	10
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	11
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	12
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	13
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	14
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	15
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	16
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	17
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	18
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	19
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	20
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	21
17	46.4	23.758787847868	29.6	4.70531614240744	38.6666666666667	22.2036207086	1.86867281128325	10	All parents	2015	10	22
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	23
17	46.4	23.758787847868	29.6	4.3058100283222	38.6666666666667	22.2036207086	1.71961599644491	10	All parents	2015	10	24
17	46.4	23.758787847868	29.6	4.70531614240744	38.6666666666667	22.2036207086	1.86867281128325	10	All parents	2015	10	25
18	140.4	61.2439345505395	33.3	5.13517283058711	46.9	23.9557810066	1.84588224727979	10	All parents	2015	10	26
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	27
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	28
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	29
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	30
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	31
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	32
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	33
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	34
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	35
16	32.2	13.0111490653209	26.8	4.32666153055679	33.5555555555556	20.6136380108	1.80618447166988	10	All parents	2015	10	36
18	75.6	50.4571104999087	32.4	5.05568986390582	43.7777777777778	23.7936034064	1.88591347440711	10	All parents	2015	10	37
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	38
17	118.25	114.396514369975	30.5	4.9749371855331	41.7888888888889	22.3657983088	1.90540438471183	10	All parents	2015	10	39
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	40
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	41
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	42
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	43
18	75.6	50.4571104999087	32.4	5.05568986390582	43.7777777777778	23.7936034064	1.88591347440711	10	All parents	2015	10	44
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	45
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	46
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	47
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	48
17	46.4	23.758787847868	29.6	4.50998891351187	38.6666666666667	22.2036207086	1.77977045576929	10	All parents	2015	10	49
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	50
18	75.6	50.4571104999087	32.4	5.05568986390582	43.7777777777778	23.7936034064	1.88591347440711	10	All parents	2015	10	51
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	52
17	46.4	23.758787847868	29.6	4.50998891351187	38.6666666666667	22.2036207086	1.77977045576929	10	All parents	2015	10	53
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	54
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	55
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	56
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	57
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	58
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	59
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	60
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	61
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	62
17	46.4	23.758787847868	29.6	4.50998891351187	38.6666666666667	22.2036207086	1.77977045576929	10	All parents	2015	10	63
