Species	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	n	type	true_n	true_off	mat_sim_iter
248	309.147309330236	16.4979961665068	341.672473867596	11.101421500173	363.769157671597	294.756270728925	6.06507052053273	287	all	296	662233	1
300	438.996736796909	29.4637495905248	453.43795620438	15.7647581237387	522.243389214192	370.001605452068	7.54314863485891	274	all	462	1029637	2
359	443.254425209103	19.4750037173685	486.698113207547	12.7793596377858	517.78011954146	423.33817065956	7.01058246462257	424	all	484	1067287	3
116	153.573313782991	13.9030229787479	165.596774193548	7.55859008539849	182.586546026751	139.72168956181	3.96852813513848	124	all	155	351652	4
92	92	0	92	0	89.0193409343715	92.8332153502053	0.894707687918137	465	all	93	207710	5
339	432.589291553134	20.9025063880487	475.626702997275	14.4242239952967	512.696803204241	405.834699066938	7.57093812798634	367	all	483	1091037	6
268	302.436774170352	10.839402474718	338.813648293963	8.7528302661779	337.015243818207	306.833369959097	5.33863991297817	381	all	311	680129	7
193	245.262569355527	15.6742015354577	268.643192488263	10.2541316091974	289.70300735229	230.298043443358	5.5205883671476	213	all	243	518527	8
27	27	0	27	0	27	27.0005723847593	0.0239214166519194	273	all	27	66109	9
55	69.4320436507936	7.88838733198766	77.5892857142857	5.82851781312875	82.7262987012987	66.158558780963	3.0719501218686	56	all	70	158865	10
57	57	0	57	0	57	57.1509639811467	0.380969385653964	399	all	58	131619	11
103	119.45918062201	8.30102680816308	129.822368421053	6.21023011671009	134.900357267341	117.079590964445	3.46327348910818	152	all	125	296740	12
81	255.062193126023	65.4741549285072	147.553191489362	11.0409747570281	200.483348751156	107.431253347247	4.02651649215178	47	all	324	707566	13
244	279.990931989924	11.9074331719864	306.841309823678	8.75487035238638	314.939196753428	277.108924857933	5.21506268826772	397	all	268	613301	14
235	358.627450980392	28.6121924741705	364.333333333333	14.0822977923033	426.044356330954	293.264882278401	6.46964249429905	195	all	377	850616	15
201	218.396907216495	7.03686617403311	245.845360824742	7.78692944861552	233.133333333333	227.932375505837	4.91829762746545	291	all	240	541794	16
388	448.987143584521	14.8780513697544	504.761710794297	11.9361197106026	509.968984579575	450.524929677267	6.97917271590026	491	all	486	1081815	17
241	440.88478281004	43.7588196603393	394.158469945355	14.8976180899631	488.440851498229	306.504440496109	6.40143884296693	183	all	458	1037229	18
268	328.675863143948	15.4100559362494	374.608058608059	12.2497502316455	387.855876966171	322.150025190233	6.52842645067232	273	all	405	896934	19
364	461.639396653996	21.4183360313331	505.645885286783	13.7540158828075	544.707587281796	433.842174801166	7.24124945515332	401	all	462	1037006	20
92	94.3133153396311	2.11308145976336	102.93567251462	3.58608774389753	88.262263501892	100.52837976	2.79515045636795	171	all	96	209177	21
163	193.347952562094	11.246829858827	212.770642201835	7.71339516322276	221.87528009132	188.745513629749	4.475176196211	218	all	209	470784	22
319	346.866666666667	9.21336821396789	384.866666666667	8.58588615563013	373.072408293461	357.667928316976	5.5694512586534	495	all	363	828234	23
128	130.443797468354	2.54040685128128	134.982278481013	2.63905320647962	132.022720555163	132.922263880359	2.03776622045455	395	all	132	303365	24
267	475.421052631579	43.9294128026302	431.210526315789	16.0924050369759	530.563098086124	337.775695932041	7.03583358224736	209	all	478	1069458	25
80	80.1662186379928	0.53473612713468	80.997311827957	0.997311827956989	79.0161072950178	81.2908648332178	1.03566874386064	372	all	82	191985	26
143	182.959974984365	13.9628316909632	198.658536585366	8.20036490243063	215.687565464612	170.027865464363	4.38856333253962	164	all	191	446956	27
184	234.429008567931	16.2387461300878	249.710526315789	9.86316234155192	272.696537599505	216.130811148281	5.30563111160744	228	all	225	515087	28
41	41	0	41	0	41	41.1060608330899	0.317884972314413	280	all	41	94430	29
283	408.36479985053	27.7517412795324	423.479704797048	14.4811265763258	485.312573459068	347.470720105365	6.95674912079999	271	all	450	1002549	30
53	53	0	53	0	52.0091930155734	53.2955031079091	0.520272689060558	326	all	53	107880	31
105	258.888968997837	51.2886382890216	180.945205479452	11.4077928150559	237.612823439878	135.931213933446	4.55635937260369	73	all	231	522132	32
208	333.249974544344	29.8072679605939	331.229813664596	13.9290059274274	393.823718944099	262.543754407407	6.15955254303629	161	all	408	927476	33
260	300.798736239325	13.5500513119666	321.856148491879	8.58398441975405	336.895338045648	292.22574200693	5.11455933002542	431	all	280	618512	34
258	299.515536971831	12.762695014828	330.794366197183	10.3195705819878	339.923434391661	296.846868651231	5.86046426007522	355	all	332	722370	35
305	379.698012999071	18.9645323398904	410.704735376045	12.4607791670588	441.74036351753	357.929650934205	6.77203280421799	359	all	404	881300	36
135	147.474127955034	6.72112279090206	158.908745247148	5.63803327585006	159.988259367834	148.502524059088	3.5352325703861	263	all	143	320137	37
176	218.512454780362	14.1164953615771	237.711627906977	9.01840195509651	254.761812649424	206.657779616627	4.9167469444995	215	all	212	466824	38
291	368.260696308725	18.3071569290457	412.590604026846	12.5324289942754	438.737170361331	350.89416321561	6.62888953127522	298	all	389	891367	39
201	221.688687392055	8.94045133412963	237.90414507772	6.38734497189201	241.968689859363	221.657444804973	4.14042258627334	386	all	224	504710	40
79	94.323275862069	7.39776731922556	108.625	6.25537269073554	109.957911392405	94.4461479160684	3.46634037129365	80	all	107	242213	41
75	82.9817767653759	11.6361203770829	78.9908883826879	1.99544419134396	81.979493660353	76.9578099679244	1.18514666689456	439	all	76	164119	42
68	565.777777777778	279.159231520668	130.222222222222	10.8112310145229	186.996825396825	91.7244304434844	3.62635398952924	36	all	330	727462	43
78	78.9955555555556	1.45278277033347	81.9822222222222	2.44041688403872	78.0531746031746	81.3187226698512	1.81417224270546	225	all	78	166033	44
162	411.793457943925	66.0215809471079	283.85046728972	14.6906256372598	375.389878328337	211.327178573866	5.76775192319149	107	all	373	871263	45
146	148.871887323944	2.43947584461845	157.966197183099	3.73187027944204	145.109660221214	155.272596671632	2.8861647202848	355	all	155	340464	46
45	45	0	45	0	45	45.04120905053	0.201925051112558	315	all	45	104132	47
37	37.497619047619	1.31747585571254	37.9952380952381	0.995238095238095	37.9999772157667	37.6143156961881	0.682891797793559	210	all	37	81524	48
200	215.475421472937	6.702677512339	238.886956521739	6.69005600883776	229.086543646781	223.092785950642	4.30334919512359	345	all	218	488380	49
45	45.0993630573248	0.375272873254632	45.9936305732484	0.993630573248408	42.0762289727258	46.3442883288318	1.06036897579712	157	all	45	102701	50
157	254.211684096646	26.3065112400963	252.186440677966	11.7476335732149	300.750832971172	198.985930922844	5.2282400273214	118	all	299	662003	51
80	82.4393939393939	2.53669578940939	86.969696969697	2.63429784218552	84.0387728213815	84.4707752006144	1.92986255442441	231	all	83	185431	52
177	411.907211651398	60.6042533883285	301.031007751938	14.0883064910183	391.858466569767	227.853840162304	5.74801470154563	129	all	359	778317	53
262	391.373870822042	28.1434764420594	407.324074074074	14.5033003788547	471.109345391904	327.788573328625	6.66139674002951	216	all	460	1021467	54
254	299.574057843997	13.382643565847	333.754601226994	9.97239216626124	343.907314771118	295.657495045715	5.71635682220823	326	all	311	718072	55
153	156.107396449704	2.85336217791713	161.976923076923	2.99230769230769	158.030683540966	160.30268186336	2.55075414693839	390	all	158	347166	56
273	312.092693212229	12.4455387726822	340.837320574163	9.77793662730648	349.935068213372	309.727750460739	5.82196243748415	418	all	323	731538	57
284	319.516863672183	11.8431719132221	345.868085106383	8.92738220367045	353.948691194484	317.727947476324	5.51136532992532	470	all	318	723797	58
218	227.777927927928	5.08196739332747	245.936936936937	5.46530066906618	234.080877717447	236.269640364578	3.8684109836898	444	all	233	536772	59
259	329.895319479511	18.1753168858695	362.616236162362	12.6893603576864	390.688998223316	310.06729050946	6.64105070568718	271	all	350	749259	60
35	39.8958333333333	4.10857948045577	44.7916666666667	3.39794157460726	44.9955673758865	40.2712390747646	2.12380867724094	48	all	44	96551	61
49	50.9809523809524	2.24345412695537	54.9428571428571	2.42616126904239	52.0848901098901	52.9473066686142	1.75266987264104	105	all	49	121051	62
161	335.242481203008	47.6306977479021	266.203007518797	13.4104652749573	339.329004329004	204.754643336257	5.78596686399514	133	all	274	636106	63
47	47	0	47	0	46.009698230572	47.1593296617774	0.375389793491923	309	all	47	108448	64
99	103.156793048973	4.87232784487013	103.988151658768	2.23076923821661	105.985765104524	101.828896449374	1.47643705629387	422	all	99	232776	65
72	195.359929078014	49.9823874996825	125.829787234043	9.27151920435494	167.249768732655	93.7958584401536	3.63151718333627	47	all	185	415837	66
186	206.884615384615	9.51467403611335	218.909090909091	6.22911737976007	225.941950900263	204.195060466693	3.82333135312066	363	all	201	453016	67
187	192.433378500452	3.93804658490109	200.971544715447	3.73405239208538	197.024315731956	196.60531611613	2.71992595595712	492	all	192	442344	68
128	155.199017199017	10.6278902502045	172.727272727273	8.26503138540035	180.85317812269	150.464271829318	4.48566827440888	165	all	177	411020	69
127	140.99779856907	6.32678888996893	162.772151898734	6.88983283592353	153.188019027655	147.603540322138	4.13249055528489	158	all	156	343152	70
235	303.192742129296	17.8298850577354	334.561403508772	11.0012835368558	361.643326377618	283.885004513722	5.68154568599925	228	all	320	726002	71
87	87.1992647058824	0.531646681739059	88.9926470588235	1.40901424780555	81.0880996309963	89.7580671309831	1.61170281837837	272	all	92	203608	72
240	380.159489633174	32.7417567562854	369.377990430622	14.640610428872	438.993835112256	297.70731895565	6.73287725006319	209	all	413	907345	73
146	308.24	44.4100037870257	248.96	13.0855034293679	318.866666666667	188.799467241	5.32248214311179	100	all	411	923323	74
108	125.986924686192	11.599684732339	124.928870292887	4.34162066500224	133.886888646672	116.856617745786	2.68162190948288	239	all	112	262206	75
135	321.784852267998	53.4853297825804	234.865168539326	13.0358773862711	307.502170582227	175.787506726353	5.11074528085901	89	all	337	770952	76
200	223.634994689728	9.48274231743689	242.872781065089	6.98055778847715	246.964154653837	223.413377003592	4.23833023809516	338	all	214	462301	77
299	439.012613180774	30.2395088809902	447.46975088968	15.350186367829	517.251664972039	366.764390475991	7.40364485267764	281	all	443	1013855	78
165	234.098336737671	20.2884835353997	244.463087248322	10.3315951563562	278.313350263015	202.117218496128	5.11084697111651	149	all	269	601855	79
305	414.665833134873	25.1212503962598	435.594427244582	14.0705218032801	488.506989981347	366.716490838974	7.17947264393269	323	all	450	990222	80
161	172.231347962382	5.90277588547863	186.918495297806	5.64078339584278	183.037321819365	176.370030856478	3.71453514141596	319	all	175	375414	81
375	439.823666291556	15.6404101998243	493.752598752599	12.8222493251875	503.937157830908	437.292787633366	7.39278420441587	481	all	454	1009808	82
317	350.358351693582	9.88888119380555	399.793017456359	9.72402313302627	380.148983790524	365.132408900384	6.01562735023274	401	all	391	873390	83
319	361.645936802706	11.8359311859168	410.781472684086	11.2019062815406	404.049321343739	369.428388695361	6.81186220313407	421	all	401	914830	84
156	207.413961038961	16.1901016258079	224.551948051948	9.4849327034657	247.549995755878	188.913233337689	4.8528250151417	154	all	236	535360	85
125	125.055441243713	0.26091702790978	125.997942386831	0.997942386831276	118.049344533537	127.475988418391	1.68331405180555	486	all	128	264335	86
202	216.465962441315	7.10956921330812	230.931924882629	5.5551160861248	230.999839823253	218.992537799808	3.70078260144297	426	all	217	494547	87
224	251.430835579515	9.86737610815674	277.845714285714	7.85296200454949	278.990994678674	253.81363381108	4.86818841926987	350	all	257	581789	88
222	246.912280701754	8.65487197667666	281.789473684211	8.21897900482838	270.12542624166	256.328610508786	5.01051760809269	285	all	273	607968	89
25	26.2083333333333	1.58820522393466	29.8333333333333	2.1615323782498	25.4885057471264	28.3699855171406	1.62130991656931	30	all	29	62182	90
