Species	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	n	type	true_n	true_off	mat_sim_iter
67	117.333888888889	20.6581306649122	109.14	8.40816270061421	133.492653061225	85.1991836844248	3.64505683861229	50	all	194	421375	1
48	76.8011111111111	16.2858769426609	70.54	5.64705232842764	84.1563265306122	58.0071486846254	2.7253625644243	50	all	69	161806	2
88	378.521	114.522089904525	163.46	11.9394639745677	227.975918367347	117.385254028489	4.23215182674943	50	all	470	1011193	3
62	112.54	22.4022811338488	99.24	7.08626841151251	122.554285714286	78.0102507654151	3.20766386926034	50	all	122	262522	4
89	428.787777777778	137.891488512716	166.42	11.8554460059502	233.796326530612	118.983707595141	4.14477915200159	50	all	455	1033987	5
69	146.315	31.8279717779817	115.06	8.63358558190049	147.014285714286	88.26715763516	3.63034845253144	50	all	110	233887	6
86	303.600833333333	82.2068832786598	157.54	11.3538187408466	216.335102040816	114.188346895185	4.09896880074458	50	all	496	1115353	7
71	125.1205	21.2096899791699	117.06	8.16693332897973	143.371836734694	90.8651494900493	3.47221433361699	50	all	150	333142	8
92	524.18	180.759200180793	174.32	12.2977071033587	247.436734693878	123.629339475494	4.19354430547372	50	all	312	710278	9
90	639.126666666667	255.959141892839	170.36	12.2193616854564	243.437551020408	120.731889981397	4.21369543791171	50	all	393	888635	10
67	170.684	45.9732109994505	112.08	9.34336127953961	146.835918367347	85.5194369606669	3.93224291929897	50	all	251	588449	11
83	229.640666666667	53.516319920258	148.66	10.6464454161941	198.87387755102	109.392986195228	3.98563160947863	50	all	367	822616	12
73	155.81	32.2320214421932	123.96	8.90734528352865	158.833469387755	94.2117854429574	3.61509370389641	50	all	227	512968	13
85	275.006923076923	70.7183385162817	154.58	11.4415208779253	210.514693877551	112.589893328533	4.17942549024269	50	all	268	571070	14
76	236.363636363636	64.905007163709	134.8	10.5139906790904	182.055510204082	99.4355369646908	4.05896180055971	50	all	328	675459	15
79	267.204545454545	74.7532060854924	142.7	10.4626000592587	194.755510204082	104.162245595037	3.96173099752791	50	all	199	449566	16
58	95.7626666666667	17.3377489896938	91.32	7.22866516031833	109.85387755102	72.554294892353	3.24478642408245	50	all	81	178560	17
78	195.6	44.2895924569193	136.8	10.1342981996782	180.29387755102	101.904595637011	3.91845856687104	50	all	193	424151	18
72	137.360555555556	25.5231049770883	120.02	8.63131507940708	150.132653061224	92.408912240469	3.62126225325789	50	all	122	278257	19
89	481	165.176269482029	167.4	12.1405106976601	236.676734693878	119.188127230977	4.24140356435313	50	all	424	949580	20
86	267.44	66.0440580218993	156.56	11.3114455309655	212.514285714286	114.038618075581	4.12965418192246	50	all	398	899212	21
66	105.2	16.422423694449	105.2	8.35320297849873	124.791836734694	83.376758931832	3.67944705548172	50	all	155	349331	22
77	237.363636363636	64.905007163709	135.8	10.2305425076093	183.055510204082	100.550908893334	3.95478434949603	50	all	201	447722	23
71	120.373333333333	19.4276015942191	116.08	8.22790374275246	140.491428571429	90.6607298542131	3.53795476655908	50	all	126	299933	24
89	537	197.876729303877	167.4	11.8132129414482	237.617142857143	119.133436414745	4.09120673607192	50	all	381	863313	25
75	177.442666666667	39.3914094248235	129.88	9.43728774595752	169.53387755102	97.4829349425986	3.779465590782	50	all	151	354987	26
55	74.4847058823529	10.0112712217618	80.48	6.22016076962646	89.4530612244898	67.1205334380573	2.98761819486342	50	all	84	191990	27
87	337.568181818182	96.4714684467251	160.5	11.6081867662439	222.155510204082	115.786800461837	4.15285414279793	50	all	369	811308	28
76	272	83.8183220490073	134.8	9.93901403560735	183.936326530612	99.3066037821216	3.80464084538693	50	all	280	635965	29
84	331.009	98.9228530325526	153.58	11.3555449010605	212.335918367347	111.290897401088	4.13739157079437	50	all	296	666998	30
80	197.7225	43.33574246959	140.76	10.1323639887244	185.233469387755	104.747354314875	3.90287410699481	50	all	225	499527	31
76	158.347222222222	30.8584092296048	129.9	9.38626656344257	165.772653061224	98.5032688678703	3.79318164921297	50	all	260	592719	32
58	99.0469230769231	19.3616887349501	90.34	6.73893166607289	109.794693877551	72.1466997076108	3.13411420303652	50	all	106	236774	33
57	86.430625	13.9759983160654	87.38	6.88566627132045	102.093469387755	70.6312418396627	3.24172723348019	50	all	92	207204	34
33	40.41125	5.8523838792677	43.78	3.53898290473407	46.8167346938776	38.384941114986	2.02761730049485	50	all	38	77593	35
86	267.44	66.0440580218993	156.56	11.3114455309655	212.514285714286	114.038618075581	4.12965418192246	50	all	294	670268	36
79	223.889230769231	55.804182718872	139.76	10.0351781249762	187.054693877551	103.448358387431	3.83717801129476	50	all	426	951464	37
36	49.8016666666667	10.2059008212932	48.74	4.50834781266929	55.5775510204082	41.8998530111515	2.41295279230053	50	all	39	95713	38
77	224	58.2095353013576	135.8	10.0371310642036	182.115102040816	100.605599709566	3.93629393553632	50	all	219	481534	39
86	392.25	125.416666666667	159.5	11.692305161943	223.036326530612	114.542495350625	4.1720128165334	50	all	462	1025365	40
86	303.600833333333	82.2068832786598	157.54	11.609875106994	216.335102040816	114.188346895185	4.2024772512045	50	all	409	885382	41
54	95.8133333333333	20.1507797845623	85.36	7.23137607928118	104.795102040816	67.4161327228534	3.29015476845304	50	all	86	197944	42
69	133.8025	26.313966593629	114.08	8.6912829892945	143.193469387755	88.1174288155562	3.63045868987775	50	all	123	279639	43
88	378.521	114.522089904525	163.46	11.8570991393342	227.975918367347	117.385254028489	4.18357141841587	50	all	487	1095283	44
68	115.684736842105	19.4648316454837	110.14	8.05091299170473	133.552244897959	86.3692464293002	3.44033944705942	50	all	146	312645	45
88	378.521	114.522089904525	163.46	11.9394639745677	227.975918367347	117.385254028489	4.23215182674943	50	all	369	817490	46
70	130.133888888889	23.8490955306551	116.06	8.63358558190049	144.252653061224	89.620844378837	3.64593153824487	50	all	183	407334	47
88	460.645	157.644942681727	164.44	11.5633559142664	231.796734693878	117.534982848093	4.06083383785835	50	all	244	557074	48
83	229.640666666667	53.516319920258	148.66	10.738100390665	198.87387755102	109.392986195228	4.01816050767936	50	all	408	911381	49
83	257.289230769231	65.5578221813228	149.64	11.1403411078835	202.694693877551	109.542715014832	4.13395775650941	50	all	339	754985	50
82	193.502222222222	39.7398654558264	144.72	10.7863617591846	189.232653061224	107.644803808972	4.11554925329653	50	all	383	837273	51
89	537	197.876729303877	167.4	11.9779797962762	237.617142857143	119.133436414745	4.17055123462579	50	all	451	1029017	52
74	233.201	66.8751853238554	129.86	9.48803456992016	175.175918367347	96.3336678347577	3.72425328911202	50	all	162	379055	53
