Species	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	n	type	true_n	true_off	mat_sim_iter
21	55.68	24.8665317243881	37.32	3.95818140059295	49.4333333333333	27.6242013337955	1.51379149148195	25	mom	50	216690	1
19	42.52	17.8849657533919	32.44	3.59199109130298	41.7933333333333	24.5839435449805	1.47112113106859	25	dad	50	216690	1
21	98.76	66.6690452908994	38.28	4.07293505963451	53.0766666666667	27.776801838808	1.53480193283193	25	mom	50	214950	2
19	55	28.5236743776113	33.4	3.71806401235912	44.555	24.7918369005348	1.49775138562401	25	dad	50	214950	2
18	126	121.993442446715	32.4	3.71806401235912	45.3183333333333	23.5750252946179	1.50401281944349	25	mom	50	216090	3
17	40.04	19.4147984795104	28.52	3.32553755053224	36.915	21.7515791117197	1.42872547821901	25	dad	50	216090	3
21	98.76	66.6690452908994	38.28	4.07293505963451	53.0766666666667	27.776801838808	1.53480193283193	25	mom	50	226411	4
17	25	6.65331997326648	26.6	3.03578655376164	30.51	21.391085251153	1.37808703377807	25	dad	50	226411	4
21	55.68	24.8665317243881	37.32	3.95818140059295	49.4333333333333	27.6242013337955	1.51379149148195	25	mom	50	230954	5
22	79.76	43.2688587015342	40.24	4.18454298579905	55.075	29.2206304807092	1.53582583394853	25	dad	50	230954	5
21	55.68	24.8665317243881	37.32	3.95818140059295	49.4333333333333	27.6242013337955	1.51379149148195	25	mom	50	242742	6
17	28.616	9.36313383435268	27.56	3.18395979874118	33.2716666666667	21.5989786067073	1.40728980687578	25	dad	50	242742	6
18	31.824	10.7585123135125	29.52	3.32553755053224	36.1516666666667	22.9875143980667	1.42858929273935	25	mom	50	219870	7
19	73	47.8497648897045	33.4	3.71806401235912	45.4366666666667	24.736544049993	1.4921632612842	25	dad	50	219870	7
20	41.6	15.470229474704	34.4	3.71806401235912	43.7916666666667	26.0277721868817	1.48524573301098	25	mom	50	223312	8
20	60.96	31.9316603597955	35.36	3.84	47.435	26.1803726918942	1.50635783182756	25	dad	50	223312	8
22	79.76	43.2688587015342	40.24	4.18454298579905	55.075	29.2206304807092	1.53582583394853	25	mom	50	221376	9
21	194.28	191.103356328454	39.24	4.18454298579905	55.8383333333333	27.9846951943622	1.55961530733691	25	dad	50	221376	9
21	55.68	24.8665317243881	37.32	3.95818140059295	49.4333333333333	27.6242013337955	1.51379149148195	25	mom	50	211149	10
18	31.824	10.7585123135125	29.52	3.32553755053224	36.1516666666667	22.9875143980667	1.42858929273935	25	dad	50	211149	10
20	41.6	15.470229474704	34.4	3.71806401235912	43.7916666666667	26.0277721868817	1.48524573301098	25	mom	50	224487	11
18	45.04	22.2650698030196	30.48	3.46132922444543	39.795	23.1401149030792	1.44994066089573	25	dad	50	224487	11
21	98.76	66.6690452908994	38.28	4.07293505963451	53.0766666666667	27.776801838808	1.53480193283193	25	mom	50	216036	12
21	55.68	24.8665317243881	37.32	3.95818140059295	49.4333333333333	27.6242013337955	1.51379149148195	25	dad	50	216036	12
20	41.6	15.470229474704	34.4	3.71806401235912	43.7916666666667	26.0277721868817	1.48524573301098	25	mom	50	223128	13
19	32.52	10.0114068275476	31.48	3.46132922444543	38.15	24.431343039968	1.44980399208176	25	dad	50	223128	13
21	55.68	24.8665317243881	37.32	3.95818140059295	49.4333333333333	27.6242013337955	1.51379149148195	25	mom	50	229537	14
17	31.52	11.9955491745897	27.56	3.18395979874118	34.1533333333333	21.5436857561655	1.39988969643893	25	dad	50	229537	14
20	41.6	15.470229474704	34.4	3.71806401235912	43.7916666666667	26.0277721868817	1.48524573301098	25	mom	50	214653	15
