Species	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	n	true_n	true_off	errors	type_a	type_b	mat_sim_iter
57	119.937777777778	31.1301521977863	90.32	6.66435293183067	114.496326530612	71.0521234160023	2.99442799597232	50	100	330720	No	0.02	0.002	1
63	103.46	18.7077256768427	96.32	6.80981644392857	115.794285714286	77.7503614271414	3.38199234939779	50	100	330720	Yes	0.02	0.002	1
61	89.0847368421053	12.8531856023438	93.34	6.88281918983784	107.152244897959	75.8532291074867	3.25860704004709	50	100	316588	No	0.02	0.002	2
71	105.086956521739	14.1702965453602	110.2	8.69804575752508	126.970612244898	88.876629315624	4.3466913639757	50	100	316588	Yes	0.02	0.002	2
64	130.489230769231	28.7677320370305	105.16	8.35085624352377	133.254693877551	81.2618487149519	3.59519690965055	50	100	290992	No	0.02	0.002	3
72	124.223684210526	20.9330915813232	116.1	9.50042104330119	141.432244897959	91.0883417897847	4.44079848419775	50	100	290992	Yes	0.02	0.002	3
66	116.844705882353	21.1925074225029	107.16	8.46739629402097	131.49306122449	83.730907387272	3.72571368434909	50	100	323903	No	0.02	0.002	4
75	149.97	29.0931486779963	124.98	10.5688409960601	157.95306122449	96.0382987587849	4.55248476243088	50	100	323903	Yes	0.02	0.002	4
64	113	20.9562043318918	103.2	7.74441734412603	126.553469387755	80.9340861932727	3.44784768768683	50	100	328012	No	0.02	0.002	5
64	113	20.9562043318918	103.2	7.74441734412603	126.553469387755	80.9340861932727	3.44784768768683	50	100	328012	Yes	0.02	0.002	5
59	85.1605555555556	12.3485942126824	89.38	6.44456360043099	102.212653061224	73.0104704296223	3.0674757214867	50	100	317420	No	0.02	0.002	6
64	89.41	11.5939165082383	96.34	6.59190412551639	108.271428571429	79.1284671703627	3.5289289683668	50	100	317420	Yes	0.02	0.002	6
63	112.686	21.6209565560823	101.22	7.55351573772108	124.55387755102	79.4589755124635	3.47461618851515	50	100	323180	No	0.02	0.002	7
68	127.29	24.4656822150947	111.12	9.55288438116991	138.313469387755	86.3643789798604	4.327298790928	50	100	323180	Yes	0.02	0.002	7
61	90.8126315789474	13.4593868048388	94.32	7.62453933034646	109.092244897959	76.1318911096597	3.51388507374416	50	100	275188	No	0.02	0.002	8
66	109.555555555556	18.4026597946369	105.2	9.24424145076274	126.672653061224	83.1870233966604	4.16869153955409	50	100	275188	Yes	0.02	0.002	8
57	68.2896	6.13435522988358	80.52	5.19322635747759	80.0497959183674	69.2901344711698	2.86562003728497	50	100	313553	No	0.02	0.002	9
62	80.375	8.80125612483809	91.4	7.88238542574518	97.6302040816327	76.3452667581705	3.87756916234546	50	100	313553	Yes	0.02	0.002	9
