Species	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	n	type	true_n	true_off	mat_sim_iter
20	22.4685714285714	2.72060360306579	25.76	2.72939553747712	25.1083333333333	23.1298616609182	1.6102701493127	25	uniform	25	59794	1
22	26.3885714285714	4.09508444578079	29.68	3.04840942132122	30.8683333333333	25.9342955841519	1.73529826488975	25	uniform	25	57544	2
24	32	6.65331997326648	33.6	3.33706457833827	37.51	28.5841791658907	1.76506810618731	25	uniform	25	66330	3
19	21	2.42212028327799	23.8	2.1466252583998	23.11	21.7388044890251	1.46778673855106	25	uniform	25	58029	4
19	21.4	2.85657137141714	23.8	2.1466252583998	23.9916666666667	21.6581025089899	1.44602523403913	25	uniform	25	54456	5
21	22.5	1.89241908677756	25.8	2.1466252583998	23.3466666666667	24.0027850807037	1.45235011841203	25	uniform	25	65506	6
20	21.28	1.78646765060738	23.84	1.92	22.23	22.4845399078305	1.32185250046291	25	uniform	25	56710	7
19	23.704	4.66624851459928	25.72	3.49445274685465	27.7516666666667	22.2823496923975	1.85424153080075	25	uniform	25	55681	8
16	17.44	2.21269066975029	18.88	1.66276877526612	18.995	17.6921521521526	1.2154160175814	25	uniform	25	52741	9
19	21.4	2.85657137141714	23.8	2.1466252583998	23.9916666666667	21.67722618942	1.34436525308689	25	uniform	25	55801	10
19	23.32	4.62895236527662	24.76	2.72939553747712	26.7533333333333	21.9501447168857	1.52613808223671	25	uniform	25	52110	11
21	23.16	2.41942141843871	26.76	2.35151015307185	25.2266666666667	24.28509496723	1.55008752040449	25	uniform	25	70375	12
22	31.6	8.05580536011143	31.6	3.8698837191833	36.3916666666667	26.378015127059	1.88929492943998	25	uniform	25	57994	13
17	18.536	2.0897739590683	20.84	1.92	20.1116666666667	19.2193620200854	1.29722610074247	25	uniform	25	54306	14
21	22.92	2.18796709298837	26.76	2.72939553747712	24.345	24.39315928778	1.65532526550625	25	uniform	25	53197	15
22	24.4685714285714	2.72060360306579	27.76	2.35151015307185	27.1083333333333	25.3360280215214	1.57301958341519	25	uniform	25	58403	16
23	28.5542857142857	4.86544884053106	31.64	3.48344656913236	33.7483333333333	27.2700599055032	1.96126763086024	25	uniform	25	63688	17
22	25.4133333333333	3.24550363228275	29.68	3.34855192583302	29.105	26.1009024925237	1.8529902441889	25	uniform	25	49639	18
23	27.3885714285714	4.09508444578079	30.68	2.71529003975634	31.8683333333333	26.9877500189769	1.63625169442861	25	uniform	25	50944	19
18	37.44	19.3999587628428	26.64	3.74891984443519	33.1566666666667	21.5729446837054	1.88816683871617	25	uniform	25	57915	20
21	33	10.2761860629321	30.6	3.33706457833827	36.2733333333333	25.2330963498089	1.69746040621547	25	uniform	25	61860	21
22	25.36	3.37994082788442	28.72	3.20799002492215	28.9883333333333	25.6246233571109	1.78423383156397	25	uniform	25	57139	22
23	27.3885714285714	4.09508444578079	30.68	3.04840942132122	31.8683333333333	26.9686263385468	1.746058649722	25	uniform	25	55378	23
20	20.8533333333333	1.28934857702889	23.84	2.3677837739118	19.585	22.6886658203162	1.49890796417414	25	uniform	25	62028	24
19	20.28	1.78646765060738	22.84	1.92	21.23	21.4228468129208	1.28388186519634	25	uniform	25	58858	25
20	20.48	0.901554213566771	22.88	2.16443988135499	17.705	22.3872322533599	1.49014109697908	25	uniform	25	63193	26
18	19.92	2.55499510762741	21.84	1.92	21.9933333333333	20.1806260775106	1.25703874447952	25	uniform	25	60403	27
22	41.44	19.3999587628428	30.64	3.48344656913236	37.1566666666667	25.8299987066705	1.82355085484977	25	uniform	25	52866	28
20	20.6171428571429	1.08598922404975	22.88	1.66276877526612	19.4683333333333	22.2957702327064	1.45000884869912	25	uniform	25	61837	29
22	31.72	8.67928568489366	30.64	3.19599749687011	35.3933333333333	25.9597080881842	1.71415505807023	25	uniform	25	57553	30
23	27.3885714285714	4.09508444578079	30.68	3.34855192583302	31.8683333333333	26.9686263385468	1.86775613413696	25	uniform	25	56570	31
19	22.92	3.90664391347185	25.72	2.89330261120402	26.87	22.3675285857592	1.5445308428176	25	uniform	25	61295	32
23	25.94	2.99326744545154	29.72	2.89330261120402	29.1066666666667	26.7798566634227	1.70466951664717	25	uniform	25	61135	33
22	24.94	2.99326744545154	28.72	2.53992125862201	28.1066666666667	25.6736307585894	1.59578790296293	25	uniform	25	51290	34
21	21.16	0.461880215351701	22.92	1.35764501987817	14.18	23.4152741841526	1.63216054269022	25	uniform	25	60396	35
20	23.36	3.37994082788442	26.72	2.89330261120402	26.9883333333333	23.5045590598706	1.5935443024574	25	uniform	25	60345	36
22	27.12	4.7535530571002	29.68	3.04840942132122	31.75	25.8325167126651	1.69425382982522	25	uniform	25	55519	37
21	26.88	5.85494662657142	27.72	2.89330261120402	30.6333333333333	24.3271097711588	1.64573349577755	25	uniform	25	56876	38
21	26.12	4.7535530571002	28.68	3.34855192583302	30.75	24.7624622997151	1.82225094949806	25	uniform	25	54438	39
20	24.704	4.66624851459928	26.72	2.53992125862201	28.7516666666667	23.307871295424	1.52907752247258	25	uniform	25	53901	40
20	24.32	4.62895236527662	25.76	2.35151015307185	27.7533333333333	22.9639831092927	1.37903847676378	25	uniform	25	58373	41
21	22.3333333333333	1.71845466037166	25.8	2.55499510762741	22.465	24.0580779312455	1.67732898958063	25	uniform	25	59965	42
21	27.144	5.7068480968044	28.68	3.34855192583302	31.6316666666667	24.6647125082268	1.68419956707306	25	uniform	25	59773	43
21	25.3885714285714	4.09508444578079	28.68	3.34855192583302	29.8683333333333	24.8280696793187	1.91027255923676	25	uniform	25	52172	44
20	27.84	7.96565962951803	26.72	2.89330261120402	30.515	23.171876464847	1.52456479287204	25	uniform	25	57397	45
19	24.88	5.85494662657142	25.72	2.89330261120402	28.6333333333333	22.1483057510704	1.65017730713251	25	uniform	25	51858	46
20	21.5	1.89241908677756	24.8	2.55499510762741	22.3466666666667	22.941091985794	1.54806654943297	25	uniform	25	53083	47
22	23.3333333333333	1.71845466037166	26.8	2.1466252583998	23.465	25.1643038360788	1.53386051620218	25	uniform	25	59654	48
21	27.144	5.7068480968044	28.68	3.04840942132122	31.6316666666667	24.6709979572901	1.77366890887483	25	uniform	25	60390	49
