n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
296	148	148	1	662233	4474.55	1135.02	2.43	5	4474.55	3327.8	2.43	8	360	30.233	Before	0	1	296	287	1	4
248	133	115	0.86	287	2.16	1.25	1.4	3	2.5	2.07	1.62	7	186	0.019	After	174	1	296	287	1	4
462	231	231	1	1029637	4457.3	1132.27	1.68	10	4457.3	2988.65	1.68	5	388	19.296	Before	0	2	462	274	1	4
300	153	147	0.96	274	1.79	1	1.2	3	1.86	1.23	1.24	3	183	0.012	After	205	2	462	274	1	4
484	242	242	1	1067287	4410.28	1110.12	3.21	10	4410.28	2883.33	3.21	8	777	18.224	Before	0	3	484	424	1	4
359	194	165	0.85	424	2.19	1.3	1.55	4	2.57	1.74	1.82	5	301	0.013	After	476	3	484	424	1	4
155	78	77	0.99	351652	4508.36	1289.97	3.99	11	4566.91	3262.57	4.04	10	311	58.55	Before	0	4	155	124	1	4
116	63	53	0.84	124	1.97	1.12	1.63	4	2.34	2.02	1.94	6	103	0.037	After	208	4	155	124	1	4
93	47	46	0.98	207710	4419.36	1166.39	2.32	4	4515.43	2791.01	2.37	5	109	96.073	Before	0	5	93	465	1	4
92	47	45	0.96	465	9.89	4.34	2.17	4	10.33	6.29	2.27	5	102	0.22	After	7	5	93	465	1	4
483	242	241	1	1091037	4508.42	1172.12	1.72	8	4527.12	3327.17	1.73	7	416	18.707	Before	0	6	483	367	1	4
339	181	158	0.87	367	2.03	1.17	1.19	3	2.32	1.53	1.37	5	216	0.013	After	200	6	483	367	1	4
311	156	155	0.99	680129	4359.8	1136.47	4.17	11	4387.93	2474.1	4.19	9	650	28.128	Before	0	7	311	381	1	4
268	139	129	0.93	381	2.74	1.63	1.92	6	2.95	1.98	2.07	6	267	0.021	After	383	7	311	381	1	4
243	122	121	0.99	518527	4250.22	1291.44	1.7	5	4285.35	3099.67	1.71	4	207	35.126	Before	0	8	243	213	1	4
193	101	92	0.91	213	2.11	1.22	1.3	3	2.32	1.68	1.42	4	131	0.023	After	76	8	243	213	1	4
27	14	13	0.93	66109	4722.07	1166.92	3.21	6	5085.31	3044.17	3.46	7	45	363.236	Before	0	9	27	273	1	4
27	14	13	0.93	273	19.5	6.96	3.21	6	21	15.15	3.46	7	45	1.5	After	0	9	27	273	1	4
70	35	35	1	158865	4539	1149.76	1.69	3	4539	2872.54	1.69	3	59	129.686	Before	0	10	70	56	1	4
55	30	25	0.83	56	1.87	0.9	1.2	2	2.24	1.59	1.44	3	36	0.075	After	23	10	70	56	1	4
58	29	29	1	131619	4538.59	1171.7	4.83	12	4538.59	2703.01	4.83	9	140	156.503	Before	0	11	58	399	1	4
57	29	28	0.97	399	13.76	5.73	4.38	10	14.25	9.3	4.54	9	127	0.491	After	13	11	58	399	1	4
125	63	62	0.98	296740	4710.16	1021.73	4.21	10	4786.13	2512.89	4.27	9	265	75.97	Before	0	12	125	152	1	4
103	54	49	0.91	152	2.81	1.72	1.83	5	3.1	1.93	2.02	6	99	0.057	After	166	12	125	152	1	4
324	162	162	1	707566	4367.69	1346.69	1.66	9	4367.69	3652.99	1.66	7	269	26.961	Before	0	13	324	47	1	4
81	42	39	0.93	47	1.12	0.33	1.02	2	1.21	0.41	1.1	2	43	0.029	After	226	13	324	47	1	4
268	134	134	1	613301	4576.87	1110.92	3.35	7	4576.87	2895.46	3.35	9	449	34.156	Before	0	14	268	397	1	4
244	127	117	0.92	397	3.13	1.85	1.89	4	3.39	2.96	2.05	6	240	0.027	After	209	14	268	397	1	4
377	189	188	0.99	850616	4500.61	1147.71	2.42	6	4524.55	2951.49	2.44	6	458	23.939	Before	0	15	377	195	1	4
235	127	108	0.85	195	1.54	0.81	1.26	3	1.81	0.95	1.48	3	160	0.014	After	298	15	377	195	1	4
240	120	120	1	541794	4514.95	1156.39	2.57	6	4514.95	3398.76	2.57	8	308	37.625	Before	0	16	240	291	1	4
201	105	96	0.91	291	2.77	1.45	1.58	3	3.03	2.19	1.73	4	166	0.029	After	142	16	240	291	1	4
486	243	243	1	1081815	4451.91	1190.01	2.52	7	4451.91	2986.81	2.52	6	613	18.321	Before	0	17	486	491	1	4
388	206	182	0.88	491	2.38	1.28	1.5	5	2.7	1.79	1.7	6	310	0.013	After	303	17	486	491	1	4
458	229	229	1	1037229	4529.38	1093.56	4.27	11	4529.38	2643.88	4.27	12	977	19.779	Before	0	18	458	183	1	4
241	127	114	0.9	183	1.44	0.74	1.32	4	1.61	0.9	1.47	4	168	0.013	After	809	18	458	183	1	4
405	203	202	1	896934	4418.39	1165.97	2.44	7	4440.27	2892.93	2.46	6	496	21.873	Before	0	19	405	273	1	4
268	141	127	0.9	273	1.94	1.1	1.35	3	2.15	1.32	1.5	4	190	0.015	After	306	19	405	273	1	4
462	231	231	1	1037006	4489.2	1141.22	4.18	9	4489.2	2558.92	4.18	13	966	19.434	Before	0	20	462	401	1	4
364	190	174	0.92	401	2.11	1.21	1.64	5	2.3	1.5	1.79	6	311	0.012	After	655	20	462	401	1	4
96	48	48	1	209177	4357.85	1183.37	1.73	4	4357.85	2677.8	1.73	4	83	90.789	Before	0	21	96	171	1	4
92	48	44	0.92	171	3.56	1.69	1.46	3	3.89	3.03	1.59	4	70	0.081	After	13	21	96	171	1	4
209	105	104	0.99	470784	4483.66	1110.49	3.3	8	4526.77	2893.97	3.33	11	346	43.112	Before	0	22	209	218	1	4
163	86	77	0.9	218	2.53	1.58	1.79	5	2.83	1.89	2	8	154	0.033	After	192	22	209	218	1	4
363	182	181	0.99	828234	4550.74	1173.26	4.14	10	4575.88	2479.28	4.17	10	754	25.142	Before	0	23	363	495	1	4
