n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
462	231	231	1	994301	4304.33	1117.28	3.17	8	4304.33	2636.2	3.17	10	733	18.633	Before	0	1	462	500	1	4
389	202	187	0.93	500	2.48	1.27	1.68	6	2.67	1.76	1.82	5	340	0.013	After	393	1	462	500	1	4
185	93	92	0.99	430072	4624.43	1175.5	1.76	5	4674.7	3163.72	1.78	7	164	50.266	Before	0	2	185	500	1	4
177	91	86	0.95	500	5.49	2.57	1.6	4	5.81	4.17	1.7	6	146	0.064	After	18	2	185	500	1	4
305	153	152	0.99	696929	4555.09	1154.56	3.31	8	4585.06	2399.68	3.34	8	507	29.968	Before	0	3	305	500	1	4
283	148	135	0.91	500	3.38	1.8	2.02	4	3.7	2.41	2.21	6	299	0.025	After	208	3	305	500	1	4
344	172	172	1	796127	4628.65	1185.12	3.33	10	4628.65	2958.56	3.33	9	572	26.911	Before	0	4	344	500	1	4
309	161	148	0.92	500	3.11	1.78	1.85	5	3.38	2.31	2.01	6	298	0.021	After	274	4	344	500	1	4
362	181	181	1	802220	4432.15	1201.06	3.3	8	4432.15	2664.84	3.3	9	597	24.487	Before	0	5	362	500	1	4
320	166	154	0.93	500	3.01	1.67	1.84	5	3.25	2.19	1.99	5	306	0.02	After	291	5	362	500	1	4
389	195	194	0.99	876459	4494.66	1184.51	3.25	9	4517.83	2842.04	3.27	9	634	23.168	Before	0	6	389	500	1	4
344	175	169	0.97	500	2.86	1.52	1.81	5	2.96	2.02	1.87	6	316	0.017	After	318	6	389	500	1	4
133	67	66	0.99	291747	4354.43	1235.39	3.24	8	4420.41	2514.47	3.29	8	217	65.976	Before	0	7	133	500	1	4
132	67	65	0.97	500	7.46	3.51	2.67	6	7.69	5.73	2.75	6	179	0.115	After	38	7	133	500	1	4
219	110	109	0.99	497169	4519.72	1295.46	1.68	7	4561.18	3676.46	1.7	6	185	41.465	Before	0	8	219	500	1	4
204	106	98	0.92	500	4.72	2.26	1.51	5	5.1	4.38	1.63	6	160	0.048	After	25	8	219	500	1	4
211	106	105	0.99	481701	4544.35	1343.82	1.8	6	4587.63	3130.88	1.82	5	191	43.28	Before	0	9	211	500	1	4
204	104	100	0.96	500	4.81	2.27	1.62	4	5	3.88	1.69	4	169	0.048	After	22	9	211	500	1	4
493	247	246	1	1119792	4533.57	1170.9	2.44	7	4552	3202.3	2.45	7	602	18.429	Before	0	10	493	500	1	4
395	207	188	0.91	500	2.42	1.52	1.47	4	2.66	1.89	1.62	5	305	0.013	After	297	10	493	500	1	4
450	225	225	1	1019452	4530.9	1144.84	4.23	12	4530.9	2650.1	4.23	10	951	20.137	Before	0	11	450	500	1	4
367	190	177	0.93	500	2.63	1.5	1.86	6	2.82	1.99	2	6	354	0.015	After	597	11	450	500	1	4
302	151	151	1	686249	4544.7	1213.37	3.26	7	4544.7	2759.32	3.26	7	492	30.097	Before	0	12	302	500	1	4
273	140	133	0.95	500	3.57	2.11	2.09	6	3.76	2.6	2.2	5	293	0.027	After	199	12	302	500	1	4
467	234	233	1	1057115	4517.59	1117.1	4.44	10	4536.97	2291.75	4.45	10	1038	19.389	Before	0	13	467	500	1	4
404	208	196	0.94	500	2.4	1.39	1.84	6	2.55	1.62	1.95	6	383	0.012	After	655	13	467	500	1	4
477	239	238	1	1051489	4399.54	1123.17	3.35	8	4418.02	2817.54	3.37	9	801	18.485	Before	0	14	477	500	1	4
403	208	195	0.94	500	2.4	1.37	1.77	4	2.56	1.63	1.89	5	368	0.012	After	433	14	477	500	1	4
293	147	146	0.99	662952	4509.88	1118.24	1.71	5	4540.77	2830.07	1.72	4	251	30.89	Before	0	15	293	500	1	4
271	140	131	0.94	500	3.57	1.84	1.46	4	3.82	2.69	1.56	4	204	0.027	After	47	15	293	500	1	4
104	52	52	1	240166	4618.58	1134.32	3.31	7	4618.58	2648.82	3.31	8	172	88.819	Before	0	16	104	500	1	4
104	52	52	1	500	9.62	4.04	2.92	6	9.62	5.58	2.92	7	152	0.185	After	20	16	104	500	1	4
278	139	139	1	618605	4450.4	1214.36	1.76	4	4450.4	2893.17	1.76	5	244	32.017	Before	0	17	278	500	1	4
254	131	123	0.94	500	3.82	2.35	1.47	4	4.07	3.23	1.56	4	192	0.031	After	52	17	278	500	1	4
394	197	197	1	870976	4421.2	1204.2	3.19	9	4421.2	2797.01	3.19	8	629	22.443	Before	0	18	394	500	1	4
344	182	162	0.89	500	2.75	1.57	1.81	5	3.09	2.14	2.04	6	330	0.017	After	299	18	394	500	1	4
372	186	186	1	849035	4564.7	1149.84	2.33	7	4564.7	3121.63	2.33	6	433	24.541	Before	0	19	372	500	1	4
324	170	154	0.91	500	2.94	1.6	1.58	4	3.25	2.28	1.74	5	268	0.019	After	165	19	372	500	1	4
368	184	184	1	822257	4468.79	1164.17	2.45	6	4468.79	3141.68	2.45	9	450	24.287	Before	0	20	368	500	1	4
325	169	156	0.92	500	2.96	1.63	1.63	5	3.21	2.63	1.76	7	275	0.019	After	175	20	368	500	1	4
73	37	36	0.97	158432	4281.95	1075.11	3.89	8	4400.89	2702.47	4	9	144	118.943	Before	0	21	73	500	1	4
72	37	35	0.95	500	13.51	5.5	3.57	8	14.29	9.68	3.77	7	132	0.386	After	12	21	73	500	1	4
437	219	218	1	940206	4293.18	1115.43	2.4	7	4312.87	2741.78	2.41	6	526	19.693	Before	0	22	437	500	1	4
354	184	170	0.92	500	2.72	1.45	1.56	4	2.94	2.13	1.69	4	287	0.016	After	239	22	437	500	1	4
412	206	206	1	879873	4271.23	1320.53	1.75	12	4271.23	3292.74	1.75	5	360	20.734	Before	0	23	412	500	1	4
338	181	157	0.87	500	2.76	1.64	1.28	3	3.18	2.57	1.48	5	232	0.018	After	128	23	412	500	1	4
250	125	125	1	562476	4499.81	1241.16	3.4	8	4499.81	2670.07	3.4	11	425	35.998	Before	0	24	250	500	1	4
237	119	118	0.99	500	4.2	2.26	2.23	5	4.24	2.92	2.25	8	265	0.036	After	160	24	250	500	1	4
357	179	178	0.99	778445	4348.85	1149.38	4.31	10	4373.29	2632.4	4.34	12	772	24.432	Before	0	25	357	500	1	4
311	162	149	0.92	500	3.09	1.8	2.09	5	3.36	2.19	2.27	6	338	0.021	After	434	25	357	500	1	4
311	156	155	0.99	727091	4660.84	1202.67	3.36	8	4690.91	2720.82	3.38	8	524	30.07	Before	0	26	311	500	1	4
278	143	135	0.94	500	3.5	1.85	2.1	6	3.7	2.29	2.23	6	301	0.026	After	223	26	311	500	1	4
353	177	176	0.99	805953	4553.41	1084.55	4.12	10	4579.28	2771.1	4.15	10	730	25.872	Before	0	27	353	500	1	4
323	163	160	0.98	500	3.07	1.68	2.17	5	3.12	2.21	2.21	6	354	0.019	After	376	27	353	500	1	4
493	247	246	1	1116480	4520.16	1129.33	2.58	7	4538.54	2869.07	2.59	8	637	18.375	Before	0	28	493	500	1	4
414	220	194	0.88	500	2.27	1.22	1.44	5	2.58	1.69	1.63	5	317	0.012	After	320	28	493	500	1	4
421	211	210	1	921377	4366.72	1253.68	1.75	13	4387.51	3207.29	1.76	6	370	20.794	Before	0	29	421	500	1	4
344	186	158	0.85	500	2.69	1.71	1.28	3	3.16	2.26	1.51	5	238	0.017	After	132	29	421	500	1	4
496	248	248	1	1110642	4478.4	1130.7	3.3	9	4478.4	2500.53	3.3	10	819	18.058	Before	0	30	496	500	1	4
404	210	194	0.92	500	2.38	1.5	1.65	5	2.58	1.62	1.78	5	346	0.012	After	473	30	496	500	1	4
447	224	223	1	991621	4426.88	1143.21	3.3	8	4446.73	2889.63	3.31	8	739	19.851	Before	0	31	447	500	1	4
