n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	true.npar	true.noff	true.lambda	true.sr	true.sckew	mat
25	13	12	0.92	94758	7289.08	2819.89	1.62	3	7896.5	5929.82	1.75	5	21	607.423	25	25	4	1	uniform	Original
23	12	11	0.92	25	2.08	1.56	1.33	2	2.27	2.15	1.45	4	16	0.189	25	25	4	1	uniform	Subsampled
25	13	12	0.92	95136	7318.15	2717.55	3.54	9	7928	4097.68	3.83	8	46	609.846	25	25	4	1	uniform	Original
20	10	10	1	25	2.5	1.43	1.8	3	2.5	1.18	1.8	3	18	0.25	25	25	4	1	uniform	Subsampled
25	13	12	0.92	90317	6947.46	2485.28	4.15	6	7526.42	2886.24	4.5	7	54	578.955	25	25	4	1	uniform	Original
20	11	9	0.82	25	2.27	1.74	1.64	4	2.78	1.56	2	3	18	0.253	25	25	4	1	uniform	Subsampled
25	13	12	0.92	97115	7470.38	1695.65	1.54	4	8092.92	3503.8	1.67	2	20	622.532	25	25	4	1	uniform	Original
22	11	11	1	25	2.27	1.1	1.27	2	2.27	1.1	1.27	2	14	0.207	25	25	4	1	uniform	Subsampled
25	13	12	0.92	102730	7902.31	2172.24	4.38	6	8560.83	4030.58	4.75	9	57	658.526	25	25	4	1	uniform	Original
19	9	10	1.11	25	2.78	1.48	2	4	2.5	1.27	1.8	3	18	0.278	25	25	4	1	uniform	Subsampled
25	13	12	0.92	83849	6449.92	1766.56	2.85	6	6987.42	4424.31	3.08	7	37	537.494	25	25	4	1	uniform	Original
23	12	11	0.92	25	2.08	1	1.58	3	2.27	1.19	1.73	3	19	0.189	25	25	4	1	uniform	Subsampled
25	13	12	0.92	114054	8773.38	1885.21	3.15	5	9504.5	4242.73	3.42	5	41	731.115	25	25	4	1	uniform	Original
23	13	10	0.77	25	1.92	0.95	1.54	3	2.5	1.18	2	4	20	0.192	25	25	4	1	uniform	Subsampled
25	13	12	0.92	106044	8157.23	2054.21	4.69	9	8837	4949.25	5.08	9	61	679.769	25	25	4	1	uniform	Original
17	10	7	0.7	25	2.5	1.43	1.9	3	3.57	2.76	2.71	5	19	0.357	25	25	4	1	uniform	Subsampled
25	13	12	0.92	113531	8733.15	2342.64	4	6	9460.92	3538.37	4.33	7	52	727.763	25	25	4	1	uniform	Original
22	12	10	0.83	25	2.08	1.16	1.42	3	2.5	1.18	1.7	3	17	0.208	25	25	4	1	uniform	Subsampled
25	13	12	0.92	107100	8238.46	2238.06	1.69	3	8925	8525.36	1.83	4	22	686.538	25	25	4	1	uniform	Original
22	12	10	0.83	25	2.08	1	1.17	2	2.5	2.22	1.4	4	14	0.208	25	25	4	1	uniform	Subsampled
25	13	12	0.92	85926	6609.69	4617.85	1.54	3	7160.5	3770.05	1.67	3	20	550.808	25	25	4	1	uniform	Original
19	8	11	1.38	25	3.12	2.17	1.62	2	2.27	1.56	1.18	2	13	0.284	25	25	4	1	uniform	Subsampled
25	13	12	0.92	103730	7979.23	1933.8	3.15	6	8644.17	4356.97	3.42	5	41	664.936	25	25	4	1	uniform	Original
21	11	10	0.91	25	2.27	2.1	1.45	2	2.5	1.51	1.6	5	16	0.227	25	25	4	1	uniform	Subsampled
25	13	12	0.92	119564	9197.23	2189.33	3.08	5	9963.67	5201.2	3.33	5	40	766.436	25	25	4	1	uniform	Original
17	8	9	1.12	25	3.12	1.96	2.12	4	2.78	2.05	1.89	3	17	0.347	25	25	4	1	uniform	Subsampled
25	13	12	0.92	105007	8077.46	2561.5	2.15	4	8750.58	5198.46	2.33	3	28	673.122	25	25	4	1	uniform	Original
21	11	10	0.91	25	2.27	1.27	1.36	3	2.5	1.84	1.5	3	15	0.227	25	25	4	1	uniform	Subsampled
25	13	12	0.92	108333	8333.31	2199.46	1.85	4	9027.75	7472.14	2	5	24	694.442	25	25	4	1	uniform	Original
19	11	8	0.73	25	2.27	1.19	1.09	2	3.12	1.81	1.5	2	12	0.284	25	25	4	1	uniform	Subsampled
25	13	12	0.92	103810	7985.38	2294.14	4	8	8650.83	4504.66	4.33	7	52	665.449	25	25	4	1	uniform	Original
20	10	10	1	25	2.5	1.51	1.7	3	2.5	1.58	1.7	4	17	0.25	25	25	4	1	uniform	Subsampled
25	13	12	0.92	106297	8176.69	2414.42	3.85	6	8858.08	3581.79	4.17	8	50	681.391	25	25	4	1	uniform	Original
21	10	11	1.1	25	2.5	1.65	1.9	5	2.27	1.35	1.73	4	19	0.227	25	25	4	1	uniform	Subsampled
25	13	12	0.92	103103	7931	1972.98	2.31	6	8591.92	7794.95	2.5	6	30	660.917	25	25	4	1	uniform	Original
22	12	10	0.83	25	2.08	1.38	1.42	3	2.5	2.72	1.7	6	17	0.208	25	25	4	1	uniform	Subsampled
25	13	12	0.92	100661	7743.15	2437.51	1.77	3	8388.42	5057.33	1.92	3	23	645.263	25	25	4	1	uniform	Original
20	10	10	1	25	2.5	1.51	1.5	3	2.5	1.27	1.5	3	15	0.25	25	25	4	1	uniform	Subsampled
25	13	12	0.92	95498	7346	2428.05	2.15	4	7958.17	4956.74	2.33	5	28	612.167	25	25	4	1	uniform	Original
20	9	11	1.22	25	2.78	1.39	1.89	4	2.27	1.35	1.55	3	17	0.253	25	25	4	1	uniform	Subsampled
25	13	12	0.92	109034	8387.23	2505.28	2.85	6	9086.17	5515.44	3.08	6	37	698.936	25	25	4	1	uniform	Original
21	11	10	0.91	25	2.27	1.35	1.55	3	2.5	1.35	1.7	2	17	0.227	25	25	4	1	uniform	Subsampled
25	13	12	0.92	107290	8253.08	2227.63	2.77	6	8940.83	5765.29	3	6	36	687.756	25	25	4	1	uniform	Original
21	13	8	0.62	25	1.92	0.95	1.23	2	3.12	1.64	2	3	16	0.24	25	25	4	1	uniform	Subsampled
25	13	12	0.92	104163	8012.54	2352.55	3.77	5	8680.25	4336.87	4.08	8	49	667.712	25	25	4	1	uniform	Original
20	10	10	1	25	2.5	1.9	1.8	3	2.5	2.07	1.8	5	18	0.25	25	25	4	1	uniform	Subsampled
25	13	12	0.92	99518	7655.23	2465.12	2.77	5	8293.17	7358.05	3	7	36	637.936	25	25	4	1	uniform	Original
15	9	6	0.67	25	2.78	1.72	1.33	2	4.17	3.92	2	3	12	0.463	25	25	4	1	uniform	Subsampled
25	13	12	0.92	115795	8907.31	2578.59	1.92	3	9649.58	9536.27	2.08	5	25	742.276	25	25	4	1	uniform	Original
19	11	8	0.73	25	2.27	1.42	1.36	2	3.12	2.7	1.88	5	15	0.284	25	25	4	1	uniform	Subsampled
25	13	12	0.92	108356	8335.08	2851.98	2.08	5	9029.67	6359.7	2.25	4	27	694.59	25	25	4	1	uniform	Original
21	11	10	0.91	25	2.27	1.1	1.82	3	2.5	1.43	2	3	20	0.227	25	25	4	1	uniform	Subsampled
25	13	12	0.92	103817	7985.92	2366.36	1.38	3	8651.42	6223.48	1.5	3	18	665.494	25	25	4	1	uniform	Original
20	12	8	0.67	25	2.08	1.08	1	1	3.12	1.64	1.5	2	12	0.26	25	25	4	1	uniform	Subsampled
25	13	12	0.92	90847	6988.23	1925.19	2.31	4	7570.58	5105.72	2.5	5	30	582.353	25	25	4	1	uniform	Original
17	9	8	0.89	25	2.78	1.2	1.56	3	3.12	1.46	1.75	3	14	0.347	25	25	4	1	uniform	Subsampled
25	13	12	0.92	107389	8260.69	2180.36	2	4	8949.08	8640.16	2.17	5	26	688.391	25	25	4	1	uniform	Original
22	13	9	0.69	25	1.92	1.32	1.31	3	2.78	1.92	1.89	4	17	0.214	25	25	4	1	uniform	Subsampled
25	13	12	0.92	110317	8485.92	2348.56	3.92	7	9193.08	4438.86	4.25	7	51	707.16	25	25	4	1	uniform	Original
21	11	10	0.91	25	2.27	1.1	1.73	4	2.5	1.43	1.9	3	19	0.227	25	25	4	1	uniform	Subsampled
25	13	12	0.92	99187	7629.77	1959.26	2.46	4	8265.58	6216.19	2.67	6	32	635.814	25	25	4	1	uniform	Original
23	13	10	0.77	25	1.92	1.12	1.54	3	2.5	1.72	2	5	20	0.192	25	25	4	1	uniform	Subsampled
25	13	12	0.92	105278	8098.31	2278.39	2.62	5	8773.17	5250.31	2.83	5	34	674.859	25	25	4	1	uniform	Original
19	11	8	0.73	25	2.27	1.49	1.27	3	3.12	2.7	1.75	3	14	0.284	25	25	4	1	uniform	Subsampled
25	13	12	0.92	99458	7650.62	2288.27	4.46	6	8288.17	5228.59	4.83	8	58	637.551	25	25	4	1	uniform	Original
21	12	9	0.75	25	2.08	1.38	1.67	3	2.78	1.92	2.22	5	20	0.231	25	25	4	1	uniform	Subsampled
25	13	12	0.92	111834	8602.62	2848.87	4	7	9319.5	5359.43	4.33	9	52	716.885	25	25	4	1	uniform	Original
21	10	11	1.1	25	2.5	1.51	1.9	5	2.27	1.49	1.73	4	19	0.227	25	25	4	1	uniform	Subsampled
25	13	12	0.92	105722	8132.46	2786.88	3.46	9	8810.17	5435.77	3.75	7	45	677.705	25	25	4	1	uniform	Original
18	9	9	1	25	2.78	1.3	1.89	4	2.78	0.67	1.89	3	17	0.309	25	25	4	1	uniform	Subsampled
25	13	12	0.92	113173	8705.62	1558.96	2.15	5	9431.08	4741.34	2.33	3	28	725.468	25	25	4	1	uniform	Original
17	9	8	0.89	25	2.78	1.72	1.33	2	3.12	2.17	1.5	3	12	0.347	25	25	4	1	uniform	Subsampled
25	13	12	0.92	95903	7377.15	1701.6	2	4	7991.92	5388.44	2.17	4	26	614.763	25	25	4	1	uniform	Original
19	10	9	0.9	25	2.5	1.27	1.5	2	2.78	1.92	1.67	4	15	0.278	25	25	4	1	uniform	Subsampled
25	13	12	0.92	110211	8477.77	2336.31	3.23	7	9184.25	6114.28	3.5	6	42	706.481	25	25	4	1	uniform	Original
22	12	10	0.83	25	2.08	1.08	1.58	3	2.5	1.9	1.9	5	19	0.208	25	25	4	1	uniform	Subsampled
25	13	12	0.92	103847	7988.23	2083.13	2.77	5	8653.92	6817.3	3	7	36	665.686	25	25	4	1	uniform	Original
18	10	8	0.8	25	2.5	1.27	1.5	2	3.12	1.81	1.88	4	15	0.312	25	25	4	1	uniform	Subsampled
25	13	12	0.92	105081	8083.15	2508.02	3.54	7	8756.75	6462.81	3.83	9	46	673.596	25	25	4	1	uniform	Original
23	12	11	0.92	25	2.08	1.08	1.75	3	2.27	1.68	1.91	5	21	0.189	25	25	4	1	uniform	Subsampled
25	13	12	0.92	86240	6633.85	2117.71	2.46	4	7186.67	4730.8	2.67	6	32	552.821	25	25	4	1	uniform	Original
20	11	9	0.82	25	2.27	1.49	1.45	4	2.78	2.11	1.78	4	16	0.253	25	25	4	1	uniform	Subsampled
25	13	12	0.92	94713	7285.62	2046.09	2	3	7892.75	4096.96	2.17	4	26	607.135	25	25	4	1	uniform	Original
22	12	10	0.83	25	2.08	1.31	1.42	2	2.5	1.08	1.7	4	17	0.208	25	25	4	1	uniform	Subsampled
25	13	12	0.92	111832	8602.46	2249.18	3.46	8	9319.33	6932.59	3.75	6	45	716.872	25	25	4	1	uniform	Original
22	11	11	1	25	2.27	1.27	1.64	3	2.27	1.27	1.64	3	18	0.207	25	25	4	1	uniform	Subsampled
25	13	12	0.92	95126	7317.38	2542.68	1.92	5	7927.17	4442.77	2.08	4	25	609.782	25	25	4	1	uniform	Original
20	11	9	0.82	25	2.27	1.35	1.45	3	2.78	1.86	1.78	3	16	0.253	25	25	4	1	uniform	Subsampled
25	13	12	0.92	113211	8708.54	2517.43	4.23	10	9434.25	3822.55	4.58	7	55	725.712	25	25	4	1	uniform	Original
22	12	10	0.83	25	2.08	1.24	1.67	3	2.5	1.35	2	3	20	0.208	25	25	4	1	uniform	Subsampled
25	13	12	0.92	90832	6987.08	1827.72	2.62	5	7569.33	7316.16	2.83	6	34	582.256	25	25	4	1	uniform	Original
18	10	8	0.8	25	2.5	1.08	1.5	2	3.12	2.85	1.88	4	15	0.312	25	25	4	1	uniform	Subsampled
25	13	12	0.92	108374	8336.46	2423.48	1.69	3	9031.17	6828.55	1.83	4	22	694.705	25	25	4	1	uniform	Original
24	12	12	1	25	2.08	1.08	1.42	3	2.08	1.44	1.42	3	17	0.174	25	25	4	1	uniform	Subsampled
