n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
100	50	50	1	216690	4333.8	1028.04	2.5	6	4333.8	2791.79	2.5	5	125	86.676	Before	0	1	100	25	1	4
40	21	19	0.9	25	1.19	0.4	1.14	2	1.32	0.58	1.26	3	24	0.063	After	101	1	100	25	1	4
100	50	50	1	214950	4299	1103.57	2.24	5	4299	3058.64	2.24	6	112	85.98	Before	0	2	100	25	1	4
40	21	19	0.9	25	1.19	0.51	1.05	2	1.32	0.75	1.16	2	22	0.063	After	90	2	100	25	1	4
100	50	50	1	216090	4321.8	1159.93	4.4	10	4321.8	2224.03	4.4	8	220	86.436	Before	0	3	100	25	1	4
35	18	17	0.94	25	1.39	1.04	1.17	3	1.47	0.87	1.24	3	21	0.082	After	199	3	100	25	1	4
100	50	50	1	226411	4528.22	1155.36	4.14	8	4528.22	2544.75	4.14	10	207	90.564	Before	0	4	100	25	1	4
38	21	17	0.81	25	1.19	0.51	1.14	2	1.47	0.62	1.41	3	24	0.07	After	183	4	100	25	1	4
100	50	50	1	230954	4619.08	1134.99	4.42	11	4619.08	2868.09	4.42	10	221	92.382	Before	0	5	100	25	1	4
43	21	22	1.05	25	1.19	0.4	1.19	2	1.14	0.35	1.14	2	25	0.054	After	196	5	100	25	1	4
100	50	50	1	242742	4854.84	1088.88	1.8	4	4854.84	3486.51	1.8	6	90	97.097	Before	0	6	100	25	1	4
38	21	17	0.81	25	1.19	0.4	1.05	2	1.47	0.8	1.29	3	22	0.07	After	68	6	100	25	1	4
100	50	50	1	219870	4397.4	1122.67	3.22	7	4397.4	2815.41	3.22	7	161	87.948	Before	0	7	100	25	1	4
37	18	19	1.06	25	1.39	0.61	1.22	3	1.32	0.67	1.16	2	22	0.073	After	139	7	100	25	1	4
100	50	50	1	223312	4466.24	1138.96	1.72	4	4466.24	3061.29	1.72	4	86	89.325	Before	0	8	100	25	1	4
40	20	20	1	25	1.25	0.44	1.1	2	1.25	0.55	1.1	2	22	0.062	After	64	8	100	25	1	4
100	50	50	1	221376	4427.52	1066.97	3.24	6	4427.52	2420.71	3.24	7	162	88.55	Before	0	9	100	25	1	4
43	22	21	0.95	25	1.14	0.35	1.09	2	1.19	0.68	1.14	3	24	0.054	After	138	9	100	25	1	4
100	50	50	1	211149	4222.98	1184.87	2.34	6	4222.98	2948.58	2.34	6	117	84.46	Before	0	10	100	25	1	4
39	21	18	0.86	25	1.19	0.4	1.1	2	1.39	0.61	1.28	3	23	0.066	After	94	10	100	25	1	4
100	50	50	1	224487	4489.74	1264.83	4.2	9	4489.74	2386.44	4.2	8	210	89.795	Before	0	11	100	25	1	4
38	20	18	0.9	25	1.25	0.44	1.2	2	1.39	0.7	1.33	3	24	0.069	After	186	11	100	25	1	4
100	50	50	1	216036	4320.72	1339.13	1.58	3	4320.72	2943.65	1.58	3	79	86.414	Before	0	12	100	25	1	4
42	21	21	1	25	1.19	0.51	1.05	2	1.19	0.4	1.05	2	22	0.057	After	57	12	100	25	1	4
100	50	50	1	223128	4462.56	1108.31	1.9	4	4462.56	2445.41	1.9	5	95	89.251	Before	0	13	100	25	1	4
39	20	19	0.95	25	1.25	0.44	1	1	1.32	0.48	1.05	2	20	0.066	After	75	13	100	25	1	4
100	50	50	1	229537	4590.74	1191.96	4.56	8	4590.74	2254.75	4.56	10	228	91.815	Before	0	14	100	25	1	4
38	21	17	0.81	25	1.19	0.4	1.19	2	1.47	0.72	1.47	3	25	0.07	After	203	14	100	25	1	4
