n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
100	50	50	1	330720	6652.94	4.49	6519.88	4.4	220	133.059	Before	0	1
57	26	31	1.19	50	1.84	1.64	1.48	1.32	41	0.059	After	176	1
100	50	50	1	316588	6300.57	2.37	6174.56	2.32	116	126.011	Before	0	2
61	32	29	0.91	50	1.58	1.26	1.69	1.34	39	0.055	After	80	2
100	50	50	1	290992	5858.12	1.71	5740.96	1.68	84	117.162	Before	0	3
64	32	32	1	50	1.58	1.19	1.53	1.16	37	0.049	After	48	3
100	50	50	1	323903	6437.08	1.76	6308.34	1.72	86	128.742	Before	0	4
66	35	31	0.89	50	1.35	1.03	1.48	1.13	35	0.044	After	51	4
100	50	50	1	328012	6509.88	1.88	6379.68	1.84	92	130.198	Before	0	5
64	34	30	0.88	50	1.48	1.21	1.63	1.33	40	0.049	After	52	5
100	50	50	1	317420	6307.63	4.16	6181.48	4.08	204	126.153	Before	0	6
59	31	28	0.9	50	1.6	1.43	1.71	1.54	43	0.057	After	165	6
100	50	50	1	323180	6520.82	1.82	6390.4	1.78	89	130.416	Before	0	7
63	33	30	0.91	50	1.53	1.19	1.63	1.27	38	0.051	After	53	7
100	50	50	1	275188	5547.51	1.67	5436.56	1.64	82	110.95	Before	0	8
61	32	29	0.91	50	1.55	1.13	1.66	1.21	35	0.053	After	51	8
100	50	50	1	313553	6208.84	3.33	6084.66	3.26	163	124.177	Before	0	9
57	29	28	0.97	50	1.75	1.46	1.75	1.46	41	0.062	After	123	9
100	50	50	1	309838	6239.14	4.49	6114.36	4.4	220	124.783	Before	0	10
59	32	27	0.84	50	1.58	1.42	1.81	1.63	44	0.059	After	183	10
100	50	50	1	320769	6360.39	3.18	6233.18	3.12	156	127.208	Before	0	11
63	30	33	1.1	50	1.66	1.41	1.45	1.24	41	0.05	After	115	11
100	50	50	1	322964	6504.96	4.06	6374.86	3.98	199	130.099	Before	0	12
61	33	28	0.85	50	1.53	1.28	1.75	1.46	41	0.055	After	164	12
100	50	50	1	317920	6350.9	2.53	6223.88	2.48	124	127.018	Before	0	13
61	32	29	0.91	50	1.58	1.1	1.69	1.17	34	0.055	After	95	13
100	50	50	1	306341	6095.59	1.8	5973.68	1.76	88	121.912	Before	0	14
61	33	28	0.85	50	1.53	1.12	1.75	1.29	36	0.055	After	52	14
100	50	50	1	291740	5814.08	3.43	5697.8	3.36	168	116.282	Before	0	15
56	30	26	0.87	50	1.69	1.34	1.88	1.5	39	0.065	After	133	15
100	50	50	1	319356	6386.39	3.22	6258.66	3.16	158	127.728	Before	0	16
60	31	29	0.94	50	1.63	1.33	1.69	1.38	40	0.056	After	120	16
100	50	50	1	318590	6438.16	4.47	6309.4	4.38	219	128.763	Before	0	17
60	30	30	1	50	1.69	1.52	1.63	1.47	44	0.056	After	178	17
100	50	50	1	327195	6575.49	3.16	6443.98	3.1	155	131.51	Before	0	18
58	30	28	0.93	50	1.69	1.38	1.75	1.43	40	0.06	After	116	18
100	50	50	1	318208	6376.55	2.49	6249.02	2.44	122	127.531	Before	0	19
65	32	33	1.03	50	1.58	1.26	1.48	1.18	39	0.048	After	85	19
100	50	50	1	282325	5669.41	1.94	5556.02	1.9	95	113.388	Before	0	20
56	30	26	0.87	50	1.69	1.17	1.88	1.31	34	0.065	After	62	20
100	50	50	1	311161	6258.69	3.24	6133.52	3.18	159	125.174	Before	0	21
53	29	24	0.83	50	1.71	1.32	2	1.54	37	0.071	After	125	21
100	50	50	1	271739	5365.45	3.08	5258.14	3.02	151	107.309	Before	0	22
63	32	31	0.97	50	1.58	1.26	1.58	1.26	39	0.051	After	113	22
100	50	50	1	327655	6513.33	4.29	6383.06	4.2	210	130.267	Before	0	23
63	33	30	0.91	50	1.53	1.41	1.63	1.5	45	0.051	After	166	23
100	50	50	1	292192	5892.8	4.14	5774.94	4.06	203	117.856	Before	0	24
64	32	32	1	50	1.55	1.29	1.5	1.25	40	0.048	After	166	24
100	50	50	1	303740	6135.41	4.33	6012.7	4.24	212	122.708	Before	0	25
56	27	29	1.07	50	1.88	1.62	1.69	1.45	42	0.065	After	172	25
100	50	50	1	313327	6296.84	4.18	6170.9	4.1	205	125.937	Before	0	26
62	32	30	0.94	50	1.58	1.35	1.63	1.4	42	0.053	After	165	26
100	50	50	1	310775	6255.12	1.59	6130.02	1.56	78	125.102	Before	0	27
62	32	30	0.94	50	1.58	1.16	1.63	1.2	36	0.053	After	43	27
100	50	50	1	319787	6375.96	2.78	6248.44	2.72	136	127.519	Before	0	28
56	32	24	0.75	50	1.58	1.26	2.04	1.62	39	0.066	After	97	28
100	50	50	1	314499	6216.14	1.76	6091.82	1.72	86	124.323	Before	0	29
54	29	25	0.86	50	1.75	1.14	1.96	1.28	32	0.07	After	54	29
100	50	50	1	304611	6056.57	2.53	5935.44	2.48	124	121.131	Before	0	30
58	30	28	0.93	50	1.69	1.28	1.75	1.32	37	0.06	After	89	30
100	50	50	1	308860	6207.88	2.37	6083.72	2.32	116	124.158	Before	0	31
57	29	28	0.97	50	1.75	1.18	1.75	1.18	33	0.062	After	85	31
100	50	50	1	319992	6444.22	2.94	6315.34	2.88	144	128.884	Before	0	32
