n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
25	13	12	0.92	59794	4599.54	1126.99	1.77	3	4982.83	2657.79	1.92	3	23	383.295	Before	0	1	25	25	1	4
20	11	9	0.82	25	2.27	1.42	1.45	2	2.78	1.64	1.78	3	16	0.253	After	7	1	25	25	1	4
25	13	12	0.92	57544	4426.46	951.79	5.31	7	4795.33	2157.69	5.75	9	69	368.872	Before	0	2	25	25	1	4
22	10	12	1.2	25	2.5	1.84	2	3	2.08	1.24	1.67	3	20	0.208	After	49	2	25	25	1	4
25	13	12	0.92	66330	5102.31	812.26	4.62	7	5527.5	2423.77	5	8	60	425.192	Before	0	3	25	25	1	4
24	12	12	1	25	2.08	1.31	1.83	4	2.08	1.08	1.83	4	22	0.174	After	38	3	25	25	1	4
25	13	12	0.92	58029	4463.77	1328.59	2.62	7	4835.75	2535.86	2.83	5	34	371.981	Before	0	4	25	25	1	4
19	11	8	0.73	25	2.27	1.1	1.27	3	3.12	2.23	1.75	3	14	0.284	After	20	4	25	25	1	4
25	13	12	0.92	54456	4188.92	1212.18	1.85	4	4538	2548.1	2	3	24	349.077	Before	0	5	25	25	1	4
19	10	9	0.9	25	2.5	1.27	1.5	3	2.78	1.92	1.67	3	15	0.278	After	9	5	25	25	1	4
25	13	12	0.92	65506	5038.92	967.74	3.69	7	5458.83	2436.06	4	7	48	419.91	Before	0	6	25	25	1	4
21	12	9	0.75	25	2.08	1.08	1.92	4	2.78	1.2	2.56	5	23	0.231	After	25	6	25	25	1	4
25	13	12	0.92	56710	4362.31	1200.65	3.77	6	4725.83	3214.04	4.08	8	49	363.526	Before	0	7	25	25	1	4
20	11	9	0.82	25	2.27	0.9	1.73	3	2.78	1.2	2.11	3	19	0.253	After	30	7	25	25	1	4
25	13	12	0.92	55681	4283.15	1253.61	1.69	4	4640.08	4106.2	1.83	4	22	356.929	Before	0	8	25	25	1	4
19	11	8	0.73	25	2.27	1.56	1	1	3.12	2.59	1.38	2	11	0.284	After	11	8	25	25	1	4
25	13	12	0.92	52741	4057	1249.78	1.31	2	4395.08	2943.03	1.42	2	17	338.083	Before	0	9	25	25	1	4
16	10	6	0.6	25	2.5	1.35	1	1	4.17	2.14	1.67	2	10	0.417	After	7	9	25	25	1	4
25	13	12	0.92	55801	4292.38	1070.42	3.54	6	4650.08	1887.98	3.83	6	46	357.699	Before	0	10	25	25	1	4
19	9	10	1.11	25	2.78	1.72	2	5	2.5	1.58	1.8	3	18	0.278	After	28	10	25	25	1	4
25	13	12	0.92	52110	4008.46	979.31	3.54	7	4342.5	2790.1	3.83	8	46	334.038	Before	0	11	25	25	1	4
19	11	8	0.73	25	2.27	0.9	1.45	3	3.12	3.09	2	5	16	0.284	After	30	11	25	25	1	4
25	13	12	0.92	70375	5413.46	722.97	3.46	5	5864.58	2236.6	3.75	6	45	451.122	Before	0	12	25	25	1	4
21	11	10	0.91	25	2.27	1.42	1.82	3	2.5	1.27	2	3	20	0.227	After	25	12	25	25	1	4
25	13	12	0.92	57994	4461.08	1309.1	4	8	4832.83	2365.03	4.33	7	52	371.756	Before	0	13	25	25	1	4
22	12	10	0.83	25	2.08	1.38	1.42	3	2.5	2.17	1.7	3	17	0.208	After	35	13	25	25	1	4
25	13	12	0.92	54306	4177.38	901.83	2.15	4	4525.5	3219.83	2.33	5	28	348.115	Before	0	14	25	25	1	4
17	9	8	0.89	25	2.78	1.39	1.56	3	3.12	2.7	1.75	4	14	0.347	After	14	14	25	25	1	4
25	13	12	0.92	53197	4092.08	1250.68	4.62	7	4433.08	2276.13	5	11	60	341.006	Before	0	15	25	25	1	4
21	11	10	0.91	25	2.27	1.27	1.82	4	2.5	1.84	2	4	20	0.227	After	40	15	25	25	1	4
25	13	12	0.92	58403	4492.54	1140.65	3.08	5	4866.92	2989.43	3.33	7	40	374.378	Before	0	16	25	25	1	4
22	11	11	1	25	2.27	1.19	1.82	5	2.27	1.01	1.82	3	20	0.207	After	20	16	25	25	1	4
25	13	12	0.92	63688	4899.08	1135.17	1.46	3	5307.33	1965.83	1.58	3	19	408.256	Before	0	17	25	25	1	4
23	12	11	0.92	25	2.08	1.38	1.25	2	2.27	1.27	1.36	2	15	0.189	After	4	17	25	25	1	4
25	13	12	0.92	49639	3818.38	1336.86	1.62	2	4136.58	3362.47	1.75	5	21	318.199	Before	0	18	25	25	1	4
22	11	11	1	25	2.27	1.27	1.36	2	2.27	2.33	1.36	5	15	0.207	After	6	18	25	25	1	4
25	13	12	0.92	50944	3918.77	984.65	4.23	8	4245.33	1448.68	4.58	8	55	326.564	Before	0	19	25	25	1	4
23	12	11	0.92	25	2.08	1	1.67	2	2.27	1.35	1.82	3	20	0.189	After	35	19	25	25	1	4
25	13	12	0.92	57915	4455	1269.37	1.85	4	4826.25	3662.59	2	4	24	371.25	Before	0	20	25	25	1	4
18	9	9	1	25	2.78	1.99	1.22	2	2.78	2.95	1.22	2	11	0.309	After	13	20	25	25	1	4
25	13	12	0.92	61860	4758.46	1186.56	2.38	5	5155	4170.16	2.58	6	31	396.538	Before	0	21	25	25	1	4
21	11	10	0.91	25	2.27	1.74	1.64	3	2.5	2.07	1.8	4	18	0.227	After	13	21	25	25	1	4
25	13	12	0.92	57139	4395.31	974.23	1.54	3	4761.58	3452.59	1.67	3	20	366.276	Before	0	22	25	25	1	4
22	12	10	0.83	25	2.08	1	1.17	2	2.5	1.58	1.4	3	14	0.208	After	6	22	25	25	1	4
25	13	12	0.92	55378	4259.85	926.42	3.46	9	4614.83	2814.75	3.75	7	45	354.987	Before	0	23	25	25	1	4
23	12	11	0.92	25	2.08	1.16	1.58	3	2.27	1.1	1.73	3	19	0.189	After	26	23	25	25	1	4
25	13	12	0.92	62028	4771.38	1504.89	2.62	5	5169	4682.9	2.83	5	34	397.615	Before	0	24	25	25	1	4
20	11	9	0.82	25	2.27	1.27	1.45	3	2.78	1.3	1.78	3	16	0.253	After	18	24	25	25	1	4
25	13	12	0.92	58858	4527.54	995.06	4.77	11	4904.83	3457.59	5.17	10	62	377.295	Before	0	25	25	25	1	4
19	12	7	0.58	25	2.08	0.79	1.67	3	3.57	1.72	2.86	4	20	0.298	After	42	25	25	25	1	4
25	13	12	0.92	63193	4861	1340.57	2.08	3	5266.08	2929.67	2.25	4	27	405.083	Before	0	26	25	25	1	4
20	10	10	1	25	2.5	0.97	1.5	3	2.5	1.18	1.5	2	15	0.25	After	12	26	25	25	1	4
25	13	12	0.92	60403	4646.38	1167.06	2.92	6	5033.58	3476.27	3.17	6	38	387.199	Before	0	27	25	25	1	4
18	10	8	0.8	25	2.5	1.18	1.6	3	3.12	1.64	2	3	16	0.312	After	22	27	25	25	1	4
25	13	12	0.92	52866	4066.62	1238.83	1.38	4	4405.5	3516.26	1.5	3	18	338.885	Before	0	28	25	25	1	4
22	12	10	0.83	25	2.08	1.24	1.08	2	2.5	1.18	1.3	3	13	0.208	After	5	28	25	25	1	4
25	13	12	0.92	61837	4756.69	1036.4	1.77	5	5153.08	3635.59	1.92	3	23	396.391	Before	0	29	25	25	1	4
