n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
25	13	12	0.92	49206	3785.08	710.11	3.85	8	4100.5	3213.06	4.17	9	50	315.423	Before	0	1	25	25	1	4
19	10	9	0.9	25	2.5	1.27	1.7	3	2.78	2.17	1.89	4	17	0.278	After	33	1	25	25	1	4
25	13	12	0.92	57694	4438	1270.05	3.62	7	4807.83	3197.33	3.92	7	47	369.833	Before	0	2	25	25	1	4
22	13	9	0.69	25	1.92	0.95	1.62	3	2.78	2.11	2.33	5	21	0.214	After	26	2	25	25	1	4
25	13	12	0.92	62311	4793.15	1021.44	3.08	6	5192.58	3630.07	3.33	5	40	399.429	Before	0	3	25	25	1	4
22	12	10	0.83	25	2.08	1	1.42	2	2.5	1.51	1.7	3	17	0.208	After	23	3	25	25	1	4
25	13	12	0.92	59696	4592	1096.53	4.31	8	4974.67	3744.03	4.67	9	56	382.667	Before	0	4	25	25	1	4
19	12	7	0.58	25	2.08	1.44	1.33	2	3.57	2.23	2.29	4	16	0.298	After	40	4	25	25	1	4
25	13	12	0.92	54631	4202.38	999.41	5.46	10	4552.58	1920.97	5.92	9	71	350.199	Before	0	5	25	25	1	4
21	12	9	0.75	25	2.08	1.38	1.83	4	2.78	1.56	2.44	4	22	0.231	After	49	5	25	25	1	4
25	13	12	0.92	63644	4895.69	1162.65	1.77	3	5303.67	2491.05	1.92	3	23	407.974	Before	0	6	25	25	1	4
20	10	10	1	25	2.5	1.35	1.3	3	2.5	1.78	1.3	2	13	0.25	After	10	6	25	25	1	4
25	13	12	0.92	63860	4912.31	981.77	2.23	4	5321.67	3585.63	2.42	4	29	409.359	Before	0	7	25	25	1	4
22	12	10	0.83	25	2.08	1	1.42	2	2.5	2.07	1.7	3	17	0.208	After	12	7	25	25	1	4
25	13	12	0.92	61840	4756.92	1023.92	4.31	9	5153.33	3236.5	4.67	10	56	396.41	Before	0	8	25	25	1	4
22	11	11	1	25	2.27	1.49	1.45	2	2.27	2.05	1.45	4	16	0.207	After	40	8	25	25	1	4
25	13	12	0.92	63930	4917.69	1133.59	2.85	5	5327.5	2489.11	3.08	5	37	409.808	Before	0	9	25	25	1	4
